run,relation,domain,relation_family,confidence,importance,absorbed,active,use_count,replay_count,provenance,proof,rule_id
hybrid_no_replay_decay,India --CAPITAL_CONTINENT--> Asia,external_geo_kgqa,NEARTO,0.8,1.0,False,False,0,0,learned_from_trace:external_geo_trace_001,India --HAS_CAPITAL--> New Delhi; New Delhi --LOCATED_IN--> Asia,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT"
hybrid_no_replay_decay,France --CAPITAL_CONTINENT--> Europe,external_geo_kgqa,NEARTO,0.8,1.0,False,False,0,0,learned_from_trace:external_geo_trace_002,France --HAS_CAPITAL--> Paris; Paris --LOCATED_IN--> Europe,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT"
hybrid_no_replay_decay,Japan --CAPITAL_CONTINENT--> Asia,external_geo_kgqa,NEARTO,0.8,1.0,False,False,0,0,learned_from_trace:external_geo_trace_003,Japan --HAS_CAPITAL--> Tokyo; Tokyo --LOCATED_IN--> Asia,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT"
hybrid_no_replay_decay,Canada --CAPITAL_CONTINENT--> North America,external_geo_kgqa,NEARTO,0.8,1.0,False,False,0,0,learned_from_trace:external_geo_trace_004,Canada --HAS_CAPITAL--> Ottawa; Ottawa --LOCATED_IN--> North America,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT"
hybrid_no_replay_decay,Brazil --CAPITAL_CONTINENT--> South America,external_geo_kgqa,NEARTO,0.8,1.0,False,False,0,0,learned_from_trace:external_geo_trace_005,Brazil --HAS_CAPITAL--> Brasilia; Brasilia --LOCATED_IN--> South America,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT"
hybrid_no_replay_decay,Egypt --CAPITAL_CONTINENT--> Africa,external_geo_kgqa,NEARTO,0.8,1.0,False,False,0,0,learned_from_trace:external_geo_trace_006,Egypt --HAS_CAPITAL--> Cairo; Cairo --LOCATED_IN--> Africa,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT"
hybrid_no_replay_decay,Australia --CAPITAL_CONTINENT--> Oceania,external_geo_kgqa,NEARTO,0.8,1.0,False,False,0,0,learned_from_trace:external_geo_trace_007,Australia --HAS_CAPITAL--> Canberra; Canberra --LOCATED_IN--> Oceania,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT"
hybrid_no_replay_decay,United States --CAPITAL_CONTINENT--> North America,external_geo_kgqa,NEARTO,0.8,1.0,False,False,0,0,learned_from_trace:external_geo_trace_008,United States --HAS_CAPITAL--> Washington DC; Washington DC --LOCATED_IN--> North America,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT"
hybrid_no_replay_decay,Germany --CAPITAL_CONTINENT--> Europe,external_geo_kgqa,NEARTO,0.8,1.0,False,False,0,0,learned_from_trace:external_geo_trace_009,Germany --HAS_CAPITAL--> Berlin; Berlin --LOCATED_IN--> Europe,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT"
hybrid_no_replay_decay,Kenya --CAPITAL_CONTINENT--> Africa,external_geo_kgqa,NEARTO,0.8,1.0,False,False,0,0,learned_from_trace:external_geo_trace_010,Kenya --HAS_CAPITAL--> Nairobi; Nairobi --LOCATED_IN--> Africa,"(HAS_CAPITAL, LOCATED_IN) -> CAPITAL_CONTINENT"
